,gp_sentence,non_gp_sentence,question,semantic_plausibility
88,While Anne vacuumed the rug lost its colors.,The rug lost its colors while Anne vacuumed.,Is it true that Anne vacuumed the rug?,1
89,While Anne vacuumed the chameleon lost its colors.,The chameleon lost its colors while Anne vacuumed.,Is it true that Anne vacuumed the chameleon?,0
90,While Jim bathed the child giggled with delight.,The child giggled with delight while Jim bathed.,Is it true that Jim bathed the child?,1
91,While the chimps groomed the baboons sat in the grass.,The baboons sat in the grass while the chimps groomed.,Is it true that the chimps groomed the baboons?,1
92,While Frank dried off the car sat in the driveway.,The car sat in the driveway while Frank dried off.,Is it true that Frank dried off the car?,1
93,While Betty woke up the neighbor coughed loudly.,The neighbor coughed loudly while Betty woke up.,Is it true that Betty woke up the neighbor?,1
94,While the thief hid the jewelry sparkled brightly.,The jewelry sparkled brightly while the thief hid.,Is it true that the thief hid the jewelry?,1
95,While Anna dressed the baby spit up on the bed.,The baby spit up on the bed while Anna dressed.,Is it true that Anna dressed the baby?,1
96,While the boy washed the dog barked loudly.,The dog barked loudly while the boy washed.,Is it true that the boy washed the dog?,1
97,While the jockey settled down the horse stood in the stall.,The horse stood in the stall while the jockey settled down.,Is it true that the jockey settled down the horse?,1
98,While the mother undressed the baby cried softly.,The baby cried softly while the mother undressed.,Is it true that the mother undressed the baby?,1
99,While the nurse shaved the patient watched TV.,The patient watched TV while the nurse shaved.,Is it true that the nurse shaved the patient?,1
100,While the girl scratched the cat stared at the dog.,The cat stared at the dog while the girl scratched.,Is it true that the girl scratched the cat?,1
101,While the mother calmed down the children sat on the bed.,The children sat on the bed while the mother calmed down.,Is it true that the mother calmed down the children?,1
102,While the artist changed the painting stood the test of time.,The painting stood the test of time while the artist changed.,Is it true that the artist changed the painting?,1
103,While the child grew the tomatoes invaded the garden.,The tomatoes invaded the garden while the child grew.,Is it true that the child grew the tomatoes?,1
104,While the toddler rolled the ball kept moving across the room.,The ball kept moving across the room while the toddler rolled.,Is it true that the toddler rolled the ball?,1
105,While the mechanic turned the wheel made weird noises.,The wheel made weird noises while the mechanic turned.,Is it true that the mechanic turned the wheel?,1
106,While the ice cap shrank the river stayed warm.,The river stayed warm while the ice cap shrank.,Is it true that the ice cap shrank the river?,1
107,While the gymnast swung the bat fell on the road.,The bat fell on the road while the gymnast swung.,Is it true that the gymnast swung the bat?,1
108,While Bill trained the athletes started the game.,The athletes started the game while Bill trained.,Is it true that Bill trained the athletes?,1
109,While the dog moved the bone went bad.,The bone went bad while the dog moved.,Is it true that the dog moved the bone?,1
110,While the river flooded the valley kept on living quietly.,The valley kept on living quietly while the river flooded.,Is it true that the river flooded the valley?,1
111,While the log broke the window moved on its axis.,The window moved on its axis while the log broke.,Is it true that the log broke the window?,1
112,While the match lit the fire warmed the children.,The fire warmed the children while the match lit.,Is it true that the match lit the fire?,1
113,While the wave crashed the boat was stranded in the ocean.,The boat was stranded in the ocean while the wave crashed.,Is it true that the wave crashed the boat?,1
